CommandLine, Time, Executable, Parent PID, PID, User, Privileges
git.exe status -z -uall , 20240926052019.776743+120 , C:\Program Files\Git\mingw64\bin\git.exe,5728 , 7500 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926052031.259890+120 , None,7736 , 7448 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/origin/main refs/remotes/origin/main , 20240926052031.177262+120 , C:\Program Files\Git\cmd\git.exe,2292 , 7736 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" ls-files --stage -- "C:\Users\lehorla\Documents\BHP\Black-Hat-Python\windows privilege escalation\bhservice.py" , 20240926052036.884167+120 , C:\Program Files\Git\cmd\git.exe,2292 , 1928 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
git.exe show --textconv ":windows privilege escalation/bhservice.py" , 20240926052036.914378+120 , C:\Program Files\Git\mingw64\bin\git.exe,7788 , 4636 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926052036.680489+120 , C:\Windows\system32\conhost.exe,7788 , 5800 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" show --textconv ":windows privilege escalation/bhservice.py" , 20240926052036.629116+120 , C:\Program Files\Git\cmd\git.exe,2292 , 7788 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926052038.851893+120 , C:\Windows\system32\conhost.exe,7164 , 1472 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
None , 20240926052041.982821+120 , None,3412 , 388 , (None, 2, None) , N/A
None , 20240926052046.432605+120 , None,3412 , 3808 , (None, 2, None) , N/A
None , 20240926052053.804886+120 , None,3412 , 6452 , (None, 2, None) , N/A
None , 20240926052054.684634+120 , None,3412 , 2640 , (None, 2, None) , N/A
"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --type=utility --utility-sub-type=asset_store.mojom.AssetStoreService --lang=fr --service-sandbox-type=asset_store_service --string-annotations=is-enterprise-managed=no --field-trial-handle=6240,i,10429386024063121222,12529014306556427185,262144 --variations-seed-version --mojo-platform-channel-handle=3172 /prefetch:8 , 20240926052056.915601+120 , C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,5524 , 408 , ('DESKTOP-JCMNI29', 0, 'lehorla') , 
"C:\Program Files\Git\cmd\git.exe" for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) --ignore-case refs/heads/main refs/remotes/main , 20240926052058.635936+120 , C:\Program Files\Git\cmd\git.exe,2292 , 2416 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
\??\C:\Windows\system32\conhost.exe 0x4 , 20240926052106.868591+120 , C:\Windows\system32\conhost.exe,8180 , 6252 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
"C:\Program Files\Git\cmd\git.exe" status -z -uall , 20240926052107.616054+120 , C:\Program Files\Git\cmd\git.exe,2292 , 5280 , ('DESKTOP-JCMNI29', 0, 'lehorla') , SeChangeNotifyPrivilege|
